iter	Passed	Remaining
0	150	150629
1	152	76208
2	154	51499
3	157	39224
4	160	32010
5	163	27076
6	165	23524
7	168	20922
8	170	18799
9	174	17248
10	176	15866
11	177	14623
12	179	13656
13	182	12837
14	184	12128
15	203	12526
16	205	11881
17	207	11334
18	209	10842
19	212	10411
20	214	10018
21	215	9598
22	219	9335
23	222	9037
24	224	8757
25	226	8498
26	229	8259
27	231	8038
28	233	7830
29	236	7634
30	238	7451
31	239	7247
32	240	7052
33	242	6902
34	245	6766
35	247	6638
36	250	6515
37	252	6396
38	254	6260
39	256	6163
40	259	6065
41	261	5970
42	264	5880
43	266	5789
44	268	5702
45	270	5601
46	272	5526
47	274	5451
48	276	5369
49	279	5301
50	281	5236
51	282	5155
52	285	5100
53	287	5041
54	290	4992
55	291	4919
56	294	4868
57	296	4816
58	298	4764
59	301	4723
60	303	4673
61	306	4631
62	308	4586
63	309	4527
64	311	4484
65	312	4428
66	315	4387
67	316	4342
68	319	4306
69	321	4277
70	324	4240
71	326	4207
72	329	4177
73	332	4159
74	335	4138
75	339	4123
76	341	4097
77	344	4072
78	345	4032
79	349	4016
80	353	4005
81	355	3977
82	357	3949
83	359	3923
84	360	3885
85	363	3864
86	366	3846
87	368	3821
88	371	3801
89	373	3778
90	375	3755
91	378	3731
92	379	3699
93	382	3685
94	384	3663
95	386	3641
96	389	3624
97	391	3604
98	393	3583
99	396	3566
100	399	3551
101	401	3532
102	403	3514
103	406	3498
104	408	3481
105	411	3466
106	413	3449
107	414	3423
108	415	3398
109	418	3386
110	421	3376
111	432	3430
112	434	3412
113	437	3396
114	439	3381
115	442	3371
116	444	3358
117	446	3337
118	448	3321
119	450	3304
120	452	3289
121	454	3269
122	456	3257
123	457	3235
124	460	3224
125	462	3205
126	464	3192
127	466	3175
128	468	3161
129	470	3149
130	473	3140
131	475	3129
132	478	3117
133	479	3099
134	481	3087
135	484	3075
136	486	3063
137	489	3054
138	491	3043
139	493	3029
140	495	3019
141	497	3008
142	501	3003
143	504	3000
144	507	2990
145	509	2980
146	512	2973
147	515	2966
148	518	2960
149	522	2963
150	525	2954
151	528	2945
152	530	2934
153	532	2926
154	536	2926
155	539	2919
156	542	2913
157	546	2909
158	548	2902
159	551	2894
160	553	2884
161	556	2876
162	558	2866
163	560	2857
164	562	2844
165	564	2838
166	567	2828
167	569	2819
168	571	2809
169	573	2801
170	575	2792
171	578	2783
172	579	2772
173	582	2764
174	584	2756
175	587	2748
176	589	2739
177	590	2726
178	592	2718
179	594	2710
180	596	2698
181	598	2689
182	600	2681
183	602	2673
184	604	2665
185	607	2657
186	609	2649
187	611	2642
188	613	2634
189	616	2626
190	618	2620
191	620	2609
192	622	2601
193	623	2588
194	625	2582
195	627	2575
196	630	2568
197	632	2561
198	634	2554
199	636	2547
200	639	2542
201	641	2536
202	644	2529
203	646	2523
204	648	2516
205	651	2509
206	653	2503
207	655	2497
208	658	2490
209	660	2484
210	662	2478
211	665	2471
212	667	2465
213	671	2465
214	674	2461
215	676	2455
216	679	2450
217	681	2443
218	683	2438
219	686	2434
220	688	2425
221	691	2422
222	693	2416
223	697	2414
224	700	2412
225	702	2407
226	704	2397
227	706	2391
228	708	2385
229	710	2378
230	712	2371
231	715	2366
232	717	2361
233	719	2356
234	722	2351
235	724	2345
236	726	2340
237	728	2333
238	731	2327
239	732	2320
240	734	2314
241	737	2308
242	739	2302
243	740	2295
244	743	2289
245	745	2284
246	747	2279
247	749	2274
248	751	2265
249	752	2257
250	754	2252
251	757	2247
252	759	2241
253	761	2237
254	764	2233
255	767	2229
256	769	2224
257	772	2220
258	774	2216
259	777	2211
260	779	2206
261	781	2201
262	784	2197
263	786	2192
264	788	2187
265	791	2183
266	793	2178
267	795	2173
